source,title,company,location,text_to_check,categories
linkedin,Ingénieur DevOps H/F,Inetum,"Rennes, Brittany, France",Ingénieur DevOps H/F,['DevOps']
linkedin,IT Technician,Voodoo,"Paris, Île-de-France, France",IT Technician,[]
linkedin,EXPLOITATION INFORMATIQUE ET GESTION OPERATIONNELLE DU PARC IOT H/F,AIRRIA,"Lyon, Auvergne-Rhône-Alpes, France",EXPLOITATION INFORMATIQUE ET GESTION OPERATIONNELLE DU PARC IOT H/F,[]
linkedin,Technicien support informatique F/H,VINCI Energies,"Le Haillan, Nouvelle-Aquitaine, France",Technicien support informatique F/H,[]
linkedin,Technicien informatique,XEFI,"Lons-le-Saunier, Bourgogne-Franche-Comté, France",Technicien informatique,[]
linkedin,Responsable d'applications informatiques (h-f),Centre Hospitalier du Mans,"Le Mans, Pays de la Loire, France",Responsable d'applications informatiques (h-f),[]
linkedin,Informaticien.ne d'outils automatisés industriels (F/H),Michelin,"Clermont-Ferrand, Auvergne-Rhône-Alpes, France",Informaticien.ne d'outils automatisés industriels (F/H),[]
linkedin,"Informaticien Gestionnaire de Parc IT : Mobilité, PC & Supervision (H/F)-2 Postes à pourvoir",OHS de Lorraine,"Flavigny-sur-Moselle, Grand Est, France","Informaticien Gestionnaire de Parc IT : Mobilité, PC & Supervision (H/F)-2 Postes à pourvoir",[]
linkedin,Technicien-ne informatique,Université de Rouen,"Canton of Mont-Saint-Aignan, Normandy, France",Technicien-ne informatique,[]
linkedin,Technicien Support Informatique,Edeis,"Reims, Grand Est, France",Technicien Support Informatique,[]
linkedin,Technicien Informatique,Unilin,"Ussel, Nouvelle-Aquitaine, France",Technicien Informatique,[]
linkedin,Officier sous contrat - Informaticien F/H,Commissariat au Numérique de Défense - CND,"Rhône, Auvergne-Rhône-Alpes, France",Officier sous contrat - Informaticien F/H,[]
linkedin,Candidature spontanée,afsol,"Perpignan, Occitanie, France",Candidature spontanée,[]
linkedin,Développeur(se) tout langage,ATIMIC,"Orléans, Centre-Val de Loire, France",Développeur(se) tout langage,[]
linkedin,Développeur/Développeuse,XEFI,"Rillieux-la-Pape, Auvergne-Rhône-Alpes, France",Développeur/Développeuse,[]
linkedin,Développeur (F/H),SVP,"Annecy, Auvergne-Rhône-Alpes, France",Développeur (F/H),[]
linkedin,Développeur Informatique F/H,MECAPROTEC AERO,"Muret, Occitanie, France",Développeur Informatique F/H,[]
linkedin,Développeur Web Full Stack (H/F),VERDIÉ VOYAGES,"Rodez, Occitanie, France",Développeur Web Full Stack (H/F),[]
linkedin,Développeur informatique Full Stack F/H,ARMOR LUX,"Quimper, Brittany, France",Développeur informatique Full Stack F/H,[]
linkedin,"Développeur logiciel H/F, CDI",Retail Renault Group,"Lormont, Nouvelle-Aquitaine, France","Développeur logiciel H/F, CDI",[]
linkedin,Web developer,Rokodo.IO,"Houeillès, Nouvelle-Aquitaine, France",Web developer,[]
linkedin,Développeur backend Java - Monétique - H/F,Viveris,"Montpellier, Occitanie, France",Développeur backend Java - Monétique - H/F,[]
linkedin,Développeur.se Python/Angular - Nantes F/H,NEURONES,"Nantes, Pays de la Loire, France",Développeur.se Python/Angular - Nantes F/H,['Data']
linkedin,Développeur Python - CDI (H/F),MERITIS,"Paris, Île-de-France, France",Développeur Python - CDI (H/F),['Data']
